Tijdstempel,[De tool kan toekomstige studenten helpen om een beslissing te maken],[Het duurde lang voordat ik de gewenste informatie vond in de tool]*,[De interface van de tool is gebruiksvriendelijk],[Ik had meer ondersteuning of instructies nodig om de tool optimaal te kunnen gebruiken]*,[Ik kon mijn aandacht niet bij de tool houden]*,[De tool bied genoeg variaties en opties],"[Ik denk dat dit mij een duidelijk beeld had gegeven van de inhoud van de studie, voordat ik aan mijn studie begon]",[De tool geeft een duidelijk beeld van de inhoud van de studie],[De tool had niet genoeg relevante informatie]*,[Over het algemeen ben ik tevreden met de functionaliteit van de tool.],[Ik vond het leuk om de tool te verkennen],[Ik had meer interactie verwacht]*,[Ik twijfelde aan de nauwkeurigheid van de informatie]*,Ruimte voor opmerkingen,[De tool bied genoeg variaties en opties],[Ik twijfelde aan de nauwkeurigheid van de informatie]*,[Het duurde lang voordat ik de gewenste informatie vond in de tool]*,[Ik vond het leuk om de tool te verkennen],[Ik had meer ondersteuning of instructies nodig om de tool optimaal te kunnen gebruiken]*,[Ik had meer interactie verwacht]*,[Ik kon mijn aandacht niet bij de tool houden]*,[De tool geeft een duidelijk beeld van de inhoud van de studie],[De tool kan toekomstige studenten helpen om een beslissing te maken],"[Ik denk dat dit mij een duidelijk beeld had gegeven van de inhoud van de studie, voordat ik aan mijn studie begon]",[De interface van de tool is gebruiksvriendelijk],[Over het algemeen ben ik tevreden met de functionaliteit van de tool.],[De tool had niet genoeg relevante informatie]*,Ruimte voor opmerkingen,[Het duurde lang voordat ik de gewenste informatie vond in de tool]*,[Ik had meer ondersteuning of instructies nodig om de tool optimaal te kunnen gebruiken]*,[Over het algemeen ben ik tevreden met de functionaliteit van de tool.],[De interface van de tool is gebruiksvriendelijk],[De tool geeft een duidelijk beeld van de inhoud van de studie],[Ik twijfelde aan de nauwkeurigheid van de informatie]*,[De tool bied genoeg variaties en opties],[Ik vond het leuk om de tool te verkennen],[Ik had meer interactie verwacht]*,[Ik kon mijn aandacht niet bij de tool houden]*,[De tool had niet genoeg relevante informatie]*,"[Ik denk dat dit mij een duidelijk beeld had gegeven van de inhoud van de studie, voordat ik aan mijn studie begon]",[De tool kan toekomstige studenten helpen om een beslissing te maken],Ruimte voor opmerkingen
13-6-2023 14:11:23,4,1,1,2,2,2,1,2,3,2,1,1,1,"De tool is lelijk, niet goed navigeerbaar, bevat onvolledige info. Als ik hier voor het eerst op zou klikken en het zou zien, zou ik meteen weer wegklikken door hoe het er uit ziet.",5,5,4,5,4,5,5,5,5,5,5,5,4,"Mooie interface, ook intuitief. Je weet het al maar een iets groter lettertype zou het denk ik beter maken. ",5,5,4,5,5,5,5,4,5,5,5,5,5,"Ook mooie interface, ik vind sunburst wel iets mooier. Ook hier zou een groter lettertype het beter maken. Ik denk dat deze tool zich meer leent tot het aangeven van welke vakken in welk jaar horen."
13-6-2023 14:29:46,2,4,1,4,4,1,1,2,5,2,1,4,5,,2,5,5,3,4,5,4,3,3,3,2,3,5,"Het zal fijn geweest kunnen zijn om duidelijker te maken hoe we aan de informaties kunnen komen, dus met welke knoppen. Ook zal het fijn zijn om meer overzicht te bieden door de vakken op te delen in jaar lagen.",5,5,3,3,3,5,3,3,4,5,5,2,3,Het zal fijn zijn om meer structuur te geven door de vakken in de jaarlaag op te delen. Meer opvulling met text zodat de interface niet te leeg eruit ziet. Misschien leuk om tweede model met dit model te combineren om meer mogelijkheid aan de gebruikers te bieden.
13-6-2023 15:12:34,4,1,3,4,4,3,5,4,2,4,4,3,3,,4,5,5,4,4,3,3,4,4,3,4,4,2,,5,5,4,4,4,4,4,4,3,2,4,4,4,
13-6-2023 15:21:29,3,3,3,4,5,2,2,2,3,3,3,3,3,Ik zou graag een duidelijke omschrijving willen van elk traject. Daarnaast zou het ook leuk zijn om een beknopte uitleg te krijgen per vak. Zonder een duidelijk beeld van wat elk traject inhoudt is het niet zo interessant om te weten welke vakken tot welk traject behoren. ,3,4,3,4,3,3,5,3,4,2,3,3,3,,3,3,3,3,3,4,3,4,2,5,3,3,4,Ik zou een duidelijkere uitleg willen over wat de trajecten nou precies inhouden. Zonder dat is het niet zo interessant om te weten welk vak tot welk traject behoort.
13-6-2023 15:34:03,5,2,4,3,5,5,5,5,4,5,5,3,3,"Mooi systeem, mag wat mooier gevisualiseerd worden.",5,4,2,5,2,5,5,5,5,5,4,5,3,Wowwww,2,3,5,5,5,5,5,4,5,5,5,5,5,Ja had ik zeker wel chill gevonden.
14-6-2023 14:21:44,2,3,2,4,3,5,3,5,4,4,2,1,5,,3,3,5,5,4,5,5,3,4,3,4,4,4,,4,5,4,5,4,4,3,4,5,5,3,4,4,
15-6-2023 13:48:10,1,5,5,5,5,3,3,2,5,2,3,5,2,,5,5,3,5,5,5,5,2,3,2,5,5,3,Kleuren en afbeeldingen/voorbeelden,5,5,5,5,3,5,5,5,4,5,5,2,2,
15-6-2023 15:05:23,3,2,1,4,1,3,3,3,5,2,1,4,5,,3,5,3,4,5,4,4,4,4,4,3,4,5,"Ik denk dat het veel zou toevoegen als je 2 ringen kan zien, dus om de trajecten ring nog een ring met de vakken die erbij horen. Dat maakt informatie zoeken makkelijker",3,4,2,2,2,5,3,2,5,4,4,3,3,"Ik vind deze wat  minder duidelijk dan de sunburst chart, al is de functionaliteit grotendeels hetzelfde "
15-6-2023 20:09:44,2,1,2,2,1,4,2,1,3,2,2,2,3,Als je 'specifieke' informatie wilt opzoeken (of een bepaald iets gedaan wordt/gebestudeerd wordt) is dit heel erg lastig. Het is moeilijk om te zien waar je moet beginnen. ,5,5,4,5,2,4,4,4,4,4,4,3,4,,3,3,4,3,3,4,4,4,3,4,5,3,4,
16-6-2023 12:55:13,2,2,2,3,2,3,2,2,4,2,2,4,4,,4,5,3,5,4,5,5,4,4,3,4,4,4,,5,5,4,4,3,5,3,4,3,4,5,3,4,
