"Tijdstempel","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool kan toekomstige studenten helpen om een beslissing te maken]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Het duurde lang voordat ik de gewenste informatie vond in de tool]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De interface van de tool is gebruiksvriendelijk]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik had meer ondersteuning of instructies nodig om de tool optimaal te kunnen gebruiken]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik kon mijn aandacht niet bij de tool houden]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool bied genoeg variaties en opties]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik denk dat dit mij een duidelijk beeld had gegeven van de inhoud van de studie, voordat ik aan mijn studie begon]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool geeft een duidelijk beeld van de inhoud van de studie]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool had niet genoeg relevante informatie]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Over het algemeen ben ik tevreden met de functionaliteit van de tool.]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik vond het leuk om de tool te verkennen]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik had meer interactie verwacht]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik twijfelde aan de nauwkeurigheid van de informatie]","Ruimte voor opmerkingen","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool bied genoeg variaties en opties]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik twijfelde aan de nauwkeurigheid van de informatie]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Het duurde lang voordat ik de gewenste informatie vond in de tool]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik vond het leuk om de tool te verkennen]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik had meer ondersteuning of instructies nodig om de tool optimaal te kunnen gebruiken]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik had meer interactie verwacht]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik kon mijn aandacht niet bij de tool houden]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool geeft een duidelijk beeld van de inhoud van de studie]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool kan toekomstige studenten helpen om een beslissing te maken]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik denk dat dit mij een duidelijk beeld had gegeven van de inhoud van de studie, voordat ik aan mijn studie begon]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De interface van de tool is gebruiksvriendelijk]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Over het algemeen ben ik tevreden met de functionaliteit van de tool.]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool had niet genoeg relevante informatie]","Ruimte voor opmerkingen","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Het duurde lang voordat ik de gewenste informatie vond in de tool]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik had meer ondersteuning of instructies nodig om de tool optimaal te kunnen gebruiken]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Over het algemeen ben ik tevreden met de functionaliteit van de tool.]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De interface van de tool is gebruiksvriendelijk]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool geeft een duidelijk beeld van de inhoud van de studie]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik twijfelde aan de nauwkeurigheid van de informatie]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool bied genoeg variaties en opties]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik vond het leuk om de tool te verkennen]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik had meer interactie verwacht]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik kon mijn aandacht niet bij de tool houden]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool had niet genoeg relevante informatie]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [Ik denk dat dit mij een duidelijk beeld had gegeven van de inhoud van de studie, voordat ik aan mijn studie begon]","In hoeverre zijn de volgende stellingen, die gaan over de tool, op jou van toepassing? [De tool kan toekomstige studenten helpen om een beslissing te maken]","Ruimte voor opmerkingen"
"2023/06/13 3:11:22 p.m. EEST","4","5 (Helemaal Eens)","1 (Helemaal Oneens)","4","4","2","1 (Helemaal Oneens)","2","3","2","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","De tool is lelijk, niet goed navigeerbaar, bevat onvolledige info. Als ik hier voor het eerst op zou klikken en het zou zien, zou ik meteen weer wegklikken door hoe het er uit ziet.","5 (Helemaal Eens)","1 (Helemaal Oneens)","2","5 (Helemaal Eens)","2","1 (Helemaal Oneens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","5 (Helemaal Eens)","5 (Helemaal Eens)","5 (Helemaal Eens)","2","Mooie interface, ook intuitief. Je weet het al maar een iets groter lettertype zou het denk ik beter maken. ","1 (Helemaal Oneens)","1 (Helemaal Oneens)","4","5 (Helemaal Eens)","5 (Helemaal Eens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","4","1 (Helemaal Oneens)","1 (Helemaal Oneens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","Ook mooie interface, ik vind sunburst wel iets mooier. Ook hier zou een groter lettertype het beter maken. Ik denk dat deze tool zich meer leent tot het aangeven van welke vakken in welk jaar horen."
"2023/06/13 3:29:46 p.m. EEST","2","2","1 (Helemaal Oneens)","2","2","1 (Helemaal Oneens)","1 (Helemaal Oneens)","2","1 (Helemaal Oneens)","2","1 (Helemaal Oneens)","2","1 (Helemaal Oneens)","","2","1 (Helemaal Oneens)","1 (Helemaal Oneens)","3","2","1 (Helemaal Oneens)","2","3","3","3","2","3","1 (Helemaal Oneens)","Het zal fijn geweest kunnen zijn om duidelijker te maken hoe we aan de informaties kunnen komen, dus met welke knoppen. Ook zal het fijn zijn om meer overzicht te bieden door de vakken op te delen in jaar lagen.","1 (Helemaal Oneens)","1 (Helemaal Oneens)","3","3","3","1 (Helemaal Oneens)","3","3","2","1 (Helemaal Oneens)","1 (Helemaal Oneens)","2","3","Het zal fijn zijn om meer structuur te geven door de vakken in de jaarlaag op te delen. Meer opvulling met text zodat de interface niet te leeg eruit ziet. Misschien leuk om tweede model met dit model te combineren om meer mogelijkheid aan de gebruikers te bieden."
"2023/06/13 4:12:33 p.m. EEST","4","5 (Helemaal Eens)","3","2","2","3","5 (Helemaal Eens)","4","4","4","4","3","3","","4","1 (Helemaal Oneens)","1 (Helemaal Oneens)","4","2","3","3","4","4","3","4","4","4","","1 (Helemaal Oneens)","1 (Helemaal Oneens)","4","4","4","2","4","4","3","4","2","4","4",""
"2023/06/13 4:21:29 p.m. EEST","3","3","3","2","1 (Helemaal Oneens)","2","2","2","3","3","3","3","3","Ik zou graag een duidelijke omschrijving willen van elk traject. Daarnaast zou het ook leuk zijn om een beknopte uitleg te krijgen per vak. Zonder een duidelijk beeld van wat elk traject inhoudt is het niet zo interessant om te weten welke vakken tot welk traject behoren. ","3","2","3","4","3","3","1 (Helemaal Oneens)","3","4","2","3","3","3","","3","3","3","3","3","2","3","4","4","1 (Helemaal Oneens)","3","3","4","Ik zou een duidelijkere uitleg willen over wat de trajecten nou precies inhouden. Zonder dat is het niet zo interessant om te weten welk vak tot welk traject behoort."
"2023/06/13 4:34:03 p.m. EEST","5 (Helemaal Eens)","4","4","3","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","5 (Helemaal Eens)","2","5 (Helemaal Eens)","5 (Helemaal Eens)","3","3","Mooi systeem, mag wat mooier gevisualiseerd worden.","5 (Helemaal Eens)","2","4","5 (Helemaal Eens)","4","1 (Helemaal Oneens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","5 (Helemaal Eens)","4","5 (Helemaal Eens)","3","Wowwww","4","3","5 (Helemaal Eens)","5 (Helemaal Eens)","5 (Helemaal Eens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","4","1 (Helemaal Oneens)","1 (Helemaal Oneens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","Ja had ik zeker wel chill gevonden."
"2023/06/14 3:21:43 p.m. EEST","2","3","2","2","3","5 (Helemaal Eens)","3","5 (Helemaal Eens)","2","4","2","5 (Helemaal Eens)","1 (Helemaal Oneens)","","3","3","1 (Helemaal Oneens)","5 (Helemaal Eens)","2","1 (Helemaal Oneens)","1 (Helemaal Oneens)","3","4","3","4","4","2","","2","1 (Helemaal Oneens)","4","5 (Helemaal Eens)","4","2","3","4","1 (Helemaal Oneens)","1 (Helemaal Oneens)","3","4","4",""
"2023/06/15 2:48:10 p.m. EEST","1 (Helemaal Oneens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","1 (Helemaal Oneens)","1 (Helemaal Oneens)","3","3","2","1 (Helemaal Oneens)","2","3","1 (Helemaal Oneens)","4","","5 (Helemaal Eens)","1 (Helemaal Oneens)","3","5 (Helemaal Eens)","1 (Helemaal Oneens)","1 (Helemaal Oneens)","1 (Helemaal Oneens)","2","3","2","5 (Helemaal Eens)","5 (Helemaal Eens)","3","Kleuren en afbeeldingen/voorbeelden","1 (Helemaal Oneens)","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","3","1 (Helemaal Oneens)","5 (Helemaal Eens)","5 (Helemaal Eens)","2","1 (Helemaal Oneens)","1 (Helemaal Oneens)","2","2",""
"2023/06/15 4:05:23 p.m. EEST","3","4","1 (Helemaal Oneens)","2","5 (Helemaal Eens)","3","3","3","1 (Helemaal Oneens)","2","1 (Helemaal Oneens)","2","1 (Helemaal Oneens)","","3","1 (Helemaal Oneens)","3","4","1 (Helemaal Oneens)","2","2","4","4","4","3","4","1 (Helemaal Oneens)","Ik denk dat het veel zou toevoegen als je 2 ringen kan zien, dus om de trajecten ring nog een ring met de vakken die erbij horen. Dat maakt informatie zoeken makkelijker","3","2","2","2","2","1 (Helemaal Oneens)","3","2","1 (Helemaal Oneens)","2","2","3","3","Ik vind deze wat  minder duidelijk dan de sunburst chart, al is de functionaliteit grotendeels hetzelfde "
"2023/06/15 9:09:44 p.m. EEST","2","5 (Helemaal Eens)","2","4","5 (Helemaal Eens)","4","2","1 (Helemaal Oneens)","3","2","2","4","3","Als je 'specifieke' informatie wilt opzoeken (of een bepaald iets gedaan wordt/gebestudeerd wordt) is dit heel erg lastig. Het is moeilijk om te zien waar je moet beginnen. ","5 (Helemaal Eens)","1 (Helemaal Oneens)","2","5 (Helemaal Eens)","4","2","2","4","4","4","4","3","2","","3","3","4","3","3","2","4","4","3","2","1 (Helemaal Oneens)","3","4",""
"2023/06/16 1:55:13 p.m. EEST","2","4","2","3","4","3","2","2","2","2","2","2","2","","4","1 (Helemaal Oneens)","3","5 (Helemaal Eens)","2","1 (Helemaal Oneens)","1 (Helemaal Oneens)","4","4","3","4","4","2","","1 (Helemaal Oneens)","1 (Helemaal Oneens)","4","4","3","1 (Helemaal Oneens)","3","4","3","2","1 (Helemaal Oneens)","3","4",""
