0,trajectory,course,property,ecs
1,Computer Systemen,Architectuur en Computer Organisatie (CS), Fundamentele concepten(CS),6
2,Computer Systemen,Architectuur en Computer Organisatie (CS), Assembly(CS),6
3,Computer Systemen,Architectuur en Computer Organisatie (CS), Relatie hardware/software(CS),6
4,Computer Systemen,Architectuur en Computer Organisatie (CS), Digitaal rekenen(CS),6
5,Computer Systemen,Architectuur en Computer Organisatie (CS), Binaire representaties(CS),6
6,Computer Systemen,Architectuur en Computer Organisatie (CS), Pipeline(CS),6
7,Computer Systemen,Besturingssystemen (CS), De rol van het besturingssysteem(CS),6
8,Computer Systemen,Besturingssystemen (CS), Scheduling en synchronisatie(CS),6
9,Computer Systemen,Besturingssystemen (CS), Geheugenbeheer(CS),6
10,Computer Systemen,Besturingssystemen (CS), Virtualisatie(CS),6
11,Computer Systemen,Besturingssystemen (CS), Filesystemen(CS),6
12,Computer Systemen,Besturingssystemen (CS), Systeembeveiliging(CS),6
13,Computer Systemen,Distributed and Parallel Programming (CS), Computer Architectuur(CS),6
14,Computer Systemen,Distributed and Parallel Programming (CS), Parallel Programmeren(CS),6
15,Computer Systemen,Distributed and Parallel Programming (CS), GPU Programmeren(CS),6
16,Computer Systemen,Distributed and Parallel Programming (CS), Big Data systemen(CS),6
17,Computer Systemen,Distributed and Parallel Programming (CS), P2P en Gedecentraliseerde systemen(CS),6
18,Computer Systemen,Distributed and Parallel Programming (CS), Literatuuronderzoek(CS),6
19,Academische Vaardigheden,Academische Vaardigheden Informatica 1, Academische Vaardigheden (AVI1),1
20,Academische Vaardigheden,Architectuur en Computer Organisatie (AV), Fundamentele concepten(AV),6
21,Academische Vaardigheden,Architectuur en Computer Organisatie (AV), Assembly(AV),6
22,Academische Vaardigheden,Architectuur en Computer Organisatie (AV), Relatie hardware/software(AV),6
23,Academische Vaardigheden,Architectuur en Computer Organisatie (AV), Digitaal rekenen(AV),6
24,Academische Vaardigheden,Architectuur en Computer Organisatie (AV), Binaire representaties(AV),6
25,Academische Vaardigheden,Architectuur en Computer Organisatie (AV), Pipeline(AV),6
26,Academische Vaardigheden,Internet of Things (AV), Analoog/Digitaal omzetting(AV),6
27,Academische Vaardigheden,Internet of Things (AV), Interpolaties(AV),6
28,Academische Vaardigheden,Internet of Things (AV), Sensoren(AV),6
29,Academische Vaardigheden,Internet of Things (AV), Encryptie(AV),6
30,Academische Vaardigheden,Internet of Things (AV), Project(AV),6
31,Academische Vaardigheden,Academische Vaardigheden Informatica 2, Academische Vaardigheden(AVI2),1
32,Academische Vaardigheden,Distributed and Parallel Programming (AV), Computer Architectuur(AV),6
33,Academische Vaardigheden,Distributed and Parallel Programming (AV), Parallel Programmeren(AV),6
34,Academische Vaardigheden,Distributed and Parallel Programming (AV), GPU Programmeren(AV),6
35,Academische Vaardigheden,Distributed and Parallel Programming (AV), Big Data systemen(AV),6
36,Academische Vaardigheden,Distributed and Parallel Programming (AV), P2P en Gedecentraliseerde systemen(AV),6
37,Academische Vaardigheden,Distributed and Parallel Programming (AV), Literatuuronderzoek(AV),6
38,Academische Vaardigheden,Introduction Computational Science (AV), Cellulaire Automaten(AV),6
